baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_abs,35,16,3.8423935742571876e-07,3.6133281701343815e-07,2.2906540412280615e-08,5.319737859110773e-08,6.202242452957307e-08,3.8223680576265906e-07,3.5923275731875037e-07,0.005211729679323219,0.005811981629694241
first_order_signed,35,16,3.8423935742571876e-07,3.6133281701343815e-07,2.2906540412280615e-08,5.319737859110773e-08,6.202242452957307e-08,3.8223680576265906e-07,3.5923275731875037e-07,0.005211729679323219,0.005811981629694241
first_order_abs,33,57,1.2760294037135902e-07,1.0492276568045554e-07,2.2680174690903478e-08,1.9076595592082412e-08,2.2827513834755563e-08,1.2759559808728227e-07,1.0467472577602166e-07,5.754008532547613e-05,0.0023640236971001296
first_order_signed,33,57,1.2760294037135902e-07,1.0492276568045554e-07,2.2680174690903478e-08,1.9076595592082412e-08,2.2827513834755563e-08,1.2759559808728227e-07,1.0467472577602166e-07,5.754008532547613e-05,0.0023640236971001296
first_order_abs,112,50,9.327017850629176e-08,7.102180668059992e-08,2.2248371825691844e-08,1.151465867099688e-08,1.5356485061346346e-08,9.327463601493946e-08,7.090638831641627e-08,4.779135967236615e-05,0.0016251116323006036
first_order_signed,112,50,9.327017850629176e-08,7.102180668059992e-08,2.2248371825691844e-08,1.151465867099688e-08,1.5356485061346346e-08,9.327463601493946e-08,7.090638831641627e-08,4.779135967236615e-05,0.0016251116323006036
first_order_abs,108,61,8.226436222415004e-08,6.004634727754968e-08,2.2218014946600365e-08,9.022701896732599e-09,1.2295768159198417e-08,8.233610060415231e-08,6.004147223848122e-08,0.0008720468750100524,8.11879371433461e-05
first_order_signed,108,61,8.226436222415004e-08,6.004634727754968e-08,2.2218014946600365e-08,9.022701896732599e-09,1.2295768159198417e-08,8.233610060415231e-08,6.004147223848122e-08,0.0008720468750100524,8.11879371433461e-05
first_order_abs,40,61,8.224532038438185e-08,6.004634727754968e-08,2.219897310683217e-08,1.0020814977806936e-08,1.2295768159198417e-08,8.227036119023978e-08,6.004147223848122e-08,0.0003044648101667692,8.11879371433461e-05
first_order_signed,40,61,8.224532038438185e-08,6.004634727754968e-08,2.219897310683217e-08,1.0020814977806936e-08,1.2295768159198417e-08,8.227036119023978e-08,6.004147223848122e-08,0.0003044648101667692,8.11879371433461e-05
first_order_abs,79,87,1.2302294417981364e-07,1.0094680253510039e-07,2.2076141644713252e-08,1.5317005086501465e-08,1.7210672753620313e-08,1.2302251661822083e-07,1.0093371827224473e-07,3.475462204720315e-06,0.0001296154264134363
